# in the simulation:
## /hepd/ActivateSatellite true
## /hepd/ActivateHEPDBox true
## /hepd/ActivateTracker true
## /hepd/ActivateCalo true

#BeamEnergy [MeV]   #BetaGamma_nominal   #BetaGammaLayer1   #BetaGammaLayer2     #ELossLayer1 [MeV]   #ELossLayer2 [MeV]   
36					0.279659			 0.2779				0.2729		   	 	 0.9048			  	  0.927		
50					0.330785			 0.3296				0.3263			 	 0.6926			      0.7039		
68                  0.387556             0.3866             0.3842               0.544                0.5486         
100					0.473832			 0.4731				0.4715			 	 0.4076			  	  0.4104		
125					0.533100			 0.5325		    	0.5313			 	 0.3474			  	  0.3471		
154					0.595988			 0.5956				0.5944			 	 0.3018			  	  0.3015		
174					0.636620			 0.636				0.6349			 	 0.2755			  	  0.2758		
202					0.690600			 0.6904				0.6895			 	 0.2513			  	  0.2527		
228					0.738274			 0.7379				0.7368			 	 0.2338			  	  0.2347

# ---------------------------------------------------------------------------------------------------------------------#

# in the simulation:
## /hepd/ActivateSatellite false
## /hepd/ActivateHEPDBox true
## /hepd/ActivateTracker true
## /hepd/ActivateCalo true

# dim = 5; // in "LangauSigma()" in "aiglon_g4_hist.C" 

#BeamEnergy [MeV]   #BetaGamma_nominal   #BetaGammaLayer1   #BetaGammaLayer2     #ELossLayer1 [MeV]   #ELossLayer2 [MeV]
32.68				0.266220			 0.2653				0.2598				 0.9714				  1.003
47.49				0.322165			 0.3215				0.3181				 0.7225				  0.7315
98.55				0.470212			 0.47				0.4685				 0.4123				  0.415
123.78				0.530331			 0.53				0.5288				 0.3503				  0.3508
152.94				0.593779			 0.5934				0.592				 0.3027				  0.304
173.03				0.634693			 0.6346				0.6338				 0.2801				  0.2781
227.19				0.736820			 0.7367				0.7353				 0.2337				  0.2346

#BeamEnergy [MeV]	#ADCLayer1_pch [ADC]	#ErrADCLayer1_pch [ADC]	#ADCLayer2_pch [ADC]	#ErrADCLayer2_pch [ADC]	
32.68				296.933625				20.360463				317.130529				14.049759
47.49				227.235234				1.357822				231.514133				1.337341
98.55				135.247707				8.321977				137.837810				0.768222
123.78				115.295538				9.943620				116.507288				0.702451
152.94				98.981039				0.610951				99.831315				0.597989
173.03				91.817989				0.561086				91.671693				0.560989
227.19				75.378476				0.474897				76.494004				11.966633

#BeamEnergy [MeV]	#ADCLayer1_nch [ADC]	#ErrADCLayer1_nch [ADC]	#ADCLayer2_nch [ADC]	#ErrADCLayer2_nch [ADC]	
32.68				377.765674				12.638117				383.506650				7.681151
47.49				280.683935				1.577258				283.463847				1.605345
98.55				166.242435				0.925100				167.484971				0.897727
123.78				141.529186				0.750498				141.361173				0.813003
152.94				121.520608				0.710562				121.272505				0.698568
173.03				112.465300				0.657769				111.198336				0.653354
227.19				91.977636				0.573319				92.766371				0.580984

#BeamEnergy [MeV]	#ADCLayer1_pch_noise [ADC]	#ErrADCLayer1_pch_noise [ADC]	#ADCLayer2_pch_noise [ADC]	#ErrADCLayer2_pch_noise [ADC]
32.68				301.303855					4.552761						309.220217					10.534184
47.49				228.258130					1.391616						232.042038					34.088901
98.55				133.776295					0.823539						137.287498					0.829504
123.78				115.451851					0.738332						116.363336					0.740063
152.94				98.618861					0.668187						100.494424					0.683452
173.03				91.552857					0.656171						91.087850					0.638362
227.19				74.850536					0.597601						76.544857					9.623434

#BeamEnergy [MeV]	#ADCLayer1_nch_noise [ADC]	#ErrADCLayer1_nch_noise [ADC]	#ADCLayer2_nch_noise [ADC]	#ErrADCLayer2_nch_noise [ADC]
32.68				372.662079					5.243190						384.452464					14.139259
47.49				280.662894					1.570522						283.201227					1.587934
98.55				165.618073					0.945188						166.972686					0.936554
123.78				141.615465					0.824207						141.251319					0.916358
152.94				120.750671					0.785983						121.490004					0.763216
173.03				112.263019					0.716521						110.669494					0.701914
227.19				91.617107					0.677055						92.968759					0.648641
		
